case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,0,answer_position,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,0,number_tokens,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,0,random_positions,26.625,23.125,9.0,-14.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,1,answer_position,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,1,number_tokens,26.625,23.125,23.75,0.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,1,random_positions,26.625,23.125,9.5,-13.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,2,answer_position,26.625,23.125,23.5,0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,2,number_tokens,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,2,random_positions,26.625,23.125,9.0,-14.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,3,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,3,number_tokens,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,3,random_positions,26.625,23.125,10.5,-12.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,4,answer_position,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,4,number_tokens,26.625,23.125,22.5,-0.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,4,random_positions,26.625,23.125,9.25,-13.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,5,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,5,number_tokens,26.625,23.125,21.0,-2.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,5,random_positions,26.625,23.125,20.0,-3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,6,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,6,number_tokens,26.625,23.125,21.75,-1.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,6,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,7,answer_position,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,7,number_tokens,26.625,23.125,13.75,-9.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,7,random_positions,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,8,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,8,number_tokens,26.625,23.125,15.25,-7.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,8,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,9,answer_position,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,9,number_tokens,26.625,23.125,6.75,-16.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
