case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,0,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,0,number_tokens,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,0,random_positions,8.75,4.5,-3.75,-8.25,True,False,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,1,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,1,number_tokens,8.75,4.5,4.75,0.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,1,random_positions,8.75,4.5,1.25,-3.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,2,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,2,number_tokens,8.75,4.5,4.75,0.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,2,random_positions,8.75,4.5,1.375,-3.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,3,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,3,number_tokens,8.75,4.5,5.25,0.75,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,3,random_positions,8.75,4.5,3.125,-1.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,4,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,4,number_tokens,8.75,4.5,5.375,0.875,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,4,random_positions,8.75,4.5,2.875,-1.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,5,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,5,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,5,random_positions,8.75,4.5,3.0,-1.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,6,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,6,number_tokens,8.75,4.5,5.875,1.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,6,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,7,answer_position,8.75,4.5,4.375,-0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,7,number_tokens,8.75,4.5,7.75,3.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,7,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,8,answer_position,8.75,4.5,4.375,-0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,8,number_tokens,8.75,4.5,7.875,3.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,8,random_positions,8.75,4.5,4.75,0.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,9,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,9,number_tokens,8.75,4.5,7.8125,3.3125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
