id,case,template,whole,digit,zeros,control,layer,model,revision,hard_margin,patched_margin,margin_effect,hard_correct,patched_correct,patched_token_count
causal-gen-000,0,relation_statements,101,0,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.375,0.125,True,True,6
causal-gen-000,0,relation_statements,101,0,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.5,0.25,True,True,5
causal-gen-000,0,relation_statements,101,0,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.25,0.0,True,True,6
causal-gen-000,0,relation_statements,101,0,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,-23.125,-48.375,True,False,5
causal-gen-000,0,relation_statements,101,0,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.125,-0.125,True,True,6
causal-gen-000,0,relation_statements,101,0,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,24.625,-0.625,True,True,5
causal-gen-000,0,relation_statements,101,0,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.25,0.0,True,True,6
causal-gen-000,0,relation_statements,101,0,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,25.25,25.375,0.125,True,True,5
causal-gen-001,1,relation_statements,102,1,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,17.75,-1.25,True,True,6
causal-gen-001,1,relation_statements,102,1,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,21.5,2.5,True,True,5
causal-gen-001,1,relation_statements,102,1,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,19.0,0.0,True,True,6
causal-gen-001,1,relation_statements,102,1,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,-23.125,-42.125,True,False,5
causal-gen-001,1,relation_statements,102,1,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,19.25,0.25,True,True,6
causal-gen-001,1,relation_statements,102,1,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,19.0,0.0,True,True,5
causal-gen-001,1,relation_statements,102,1,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,19.0,0.0,True,True,6
causal-gen-001,1,relation_statements,102,1,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,19.0,18.75,-0.25,True,True,5
causal-gen-002,2,relation_statements,103,2,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,21.625,-0.75,True,True,6
causal-gen-002,2,relation_statements,103,2,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.5,0.125,True,True,5
causal-gen-002,2,relation_statements,103,2,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.375,0.0,True,True,6
causal-gen-002,2,relation_statements,103,2,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,-21.875,-44.25,True,False,5
causal-gen-002,2,relation_statements,103,2,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,23.75,1.375,True,True,6
causal-gen-002,2,relation_statements,103,2,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.25,-0.125,True,True,5
causal-gen-002,2,relation_statements,103,2,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.25,-0.125,True,True,6
causal-gen-002,2,relation_statements,103,2,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.375,0.0,True,True,5
causal-gen-003,3,relation_statements,104,3,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,20.5,-0.375,True,True,6
causal-gen-003,3,relation_statements,104,3,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,22.0,1.125,True,True,5
causal-gen-003,3,relation_statements,104,3,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,20.875,0.0,True,True,6
causal-gen-003,3,relation_statements,104,3,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,-24.125,-45.0,True,False,5
causal-gen-003,3,relation_statements,104,3,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,20.875,0.0,True,True,6
causal-gen-003,3,relation_statements,104,3,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,19.75,-1.125,True,True,5
causal-gen-003,3,relation_statements,104,3,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,21.0,0.125,True,True,6
causal-gen-003,3,relation_statements,104,3,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,20.875,20.75,-0.125,True,True,5
causal-gen-004,4,relation_statements,105,4,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.625,0.25,True,True,6
causal-gen-004,4,relation_statements,105,4,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,23.625,1.25,True,True,5
causal-gen-004,4,relation_statements,105,4,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.375,0.0,True,True,6
causal-gen-004,4,relation_statements,105,4,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,-24.125,-46.5,True,False,5
causal-gen-004,4,relation_statements,105,4,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.625,0.25,True,True,6
causal-gen-004,4,relation_statements,105,4,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.125,-0.25,True,True,5
causal-gen-004,4,relation_statements,105,4,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.25,-0.125,True,True,6
causal-gen-004,4,relation_statements,105,4,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,22.375,22.125,-0.25,True,True,5
causal-gen-005,5,relation_statements,106,5,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.375,0.125,True,True,6
causal-gen-005,5,relation_statements,106,5,1,easy_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.25,0.0,True,True,5
causal-gen-005,5,relation_statements,106,5,1,donor_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.25,0.0,True,True,6
causal-gen-005,5,relation_statements,106,5,1,donor_short_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,-23.375,-47.625,True,False,5
causal-gen-005,5,relation_statements,106,5,1,easy_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,23.875,-0.375,True,True,6
causal-gen-005,5,relation_statements,106,5,1,easy_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.625,0.375,True,True,5
causal-gen-005,5,relation_statements,106,5,1,donor_padded_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.75,0.5,True,True,6
causal-gen-005,5,relation_statements,106,5,1,donor_short_random,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,24.25,24.5,0.25,True,True,5
causal-gen-006,6,relation_statements,107,6,1,easy_padded_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,23.125,23.25,0.125,True,True,6
